boundary,subconstraint,diagram_source,diagram_label,diagram_nodes,diagram_circuit_labels,etys_line_id,etys_bus0,etys_bus1,sign,confidence,notes
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Washway Farm; Penwortham; Heysham; Middleton; Carrington",visible SSHARN3 red curve,KIBY21_WASF2A_0,KIBY21,WASF2A,positive,medium,"Diagram shows Washway Farm on the western side of SSHARN3; ETYS represents this as Kirkby-Washway 275 kV."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Washway Farm; Penwortham; Heysham; Middleton; Carrington",visible SSHARN3 red curve,KIBY21_WASF2B_0,KIBY21,WASF2B,positive,medium,"Parallel Kirkby-Washway leg used with the same sign."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Washway Farm; Penwortham; Carrington",visible SSHARN3 red curve,CARR41_PEWO4A_0,CARR41,PEWO4A,negative,high,"Diagram places Carrington-Penwortham on the southern/eastern side of the SHARN3 loop; sign flipped to keep north-to-south positive."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Heysham; Middleton",visible SSHARN3 red curve,HAMB4A_HEYS41_0,HAMB4A,HEYS41,positive,medium,"ETYS Heysham branch included because the image shows Heysham inside the SHARN3 corridor."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Heysham; Middleton",visible SSHARN3 red curve,HAMB4B_HEYS41_0,HAMB4B,HEYS41,positive,medium,"Parallel Heysham branch."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Heysham; Middleton",visible SSHARN3 red curve,HEYS41_MIDL41_0,HEYS41,MIDL41,positive,high,"Diagram explicitly shows Heysham/Middleton as part of SSHARN3."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Heysham; Quernmore; Middleton",visible SSHARN3 red curve,HEYS41_QUER4B_0,HEYS41,QUER4B,positive,medium,"ETYS split corridor via Quernmore visible near Heysham/Middleton."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Middleton; Quernmore",visible SSHARN3 red curve,MIDL41_QUER4A_0,MIDL41,QUER4A,negative,high,"Diagram-backed Middleton-Quernmore corridor; bus ordering requires negative sign."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Penwortham; Quernmore",visible SSHARN3 red curve,PEWO41_QUER4A_0,PEWO41,QUER4A,negative,medium,"ETYS Penwortham-Quernmore split leg used to close the western SHARN3 cut."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Penwortham; Quernmore",visible SSHARN3 red curve,PEWO41_QUER4B_0,PEWO41,QUER4B,negative,medium,"Parallel Penwortham-Quernmore split leg."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Penwortham; Washway Farm",visible SSHARN3 red curve,PEWO2C_WASF2A_0,PEWO2C,WASF2A,positive,high,"Diagram shows the Penwortham-Washway side of the SSHARN3 curve."
SSHARN,SSHARN3,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN3,"Penwortham; Washway Farm",visible SSHARN3 red curve,PEWO2D_WASF2B_0,PEWO2D,WASF2B,positive,high,"Parallel Penwortham-Washway leg."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Harker; Hutton; Norton; Osbaldwick; Thornton; Lackenby; Greystones",visible SSHARN7 green curve,HARK41_HUTT41_0,HARK41,HUTT41,positive,high,"Diagram shows Harker/Hutton on the northern SSHARN7 interface."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Harker; Hutton; Norton; Osbaldwick; Thornton; Lackenby; Greystones",visible SSHARN7 green curve,HARK41_HUTT43_0,HARK41,HUTT43,positive,high,"Parallel Harker-Hutton leg."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Hutton; Quernmore",visible SSHARN7 green curve,HUTT41_QUER4A_0,HUTT41,QUER4A,positive,medium,"ETYS split western leg; included because the diagram places Hutton at the western end of SSHARN7."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Hutton; Quernmore",visible SSHARN7 green curve,HUTT41_QUER4B_0,HUTT41,QUER4B,positive,medium,"Parallel Hutton-Quernmore split leg."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Hawthorn Pit; Norton",visible SSHARN7 green curve,HAWP4A_NORT41_0,HAWP4A,NORT41,positive,medium,"Diagram shows the north-east Harker/Norton region but ETYS uses adjacent Hawthorn Pit-Norton leg."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Lackenby; Thornton; Greystones",visible SSHARN7 green curve,LACK41_THTO41_0,LACK41,THTO41,negative,high,"Diagram explicitly shows the Lackenby/Thornton/Greystones corridor; sign flipped for north-to-south convention."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Lackenby; Thornton; Greystones",visible SSHARN7 green curve,LACK41_THTO42_0,LACK41,THTO42,negative,high,"Parallel Lackenby-Thornton leg."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Norton; Osbaldwick",visible SSHARN7 green curve,NORT41_OSBA41_0,NORT41,OSBA41,positive,high,"Diagram shows Norton/Osbaldwick on the SSHARN7/Yorkshire edge."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Norton; Osbaldwick",visible SSHARN7 green curve,NORT41_OSBA42_0,NORT41,OSBA42,positive,high,"Parallel Norton-Osbaldwick leg."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Norton; Spennymoor",visible SSHARN7 green curve,NORT41_SPEN41_0,NORT41,SPEN41,positive,medium,"Included to represent the diagram-visible north-eastern Norton interface."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Norton; Spennymoor",visible SSHARN7 green curve,NORT41_SPEN42_0,NORT41,SPEN42,positive,medium,"Parallel Norton-Spennymoor leg."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Osbaldwick; Thornton",visible SSHARN7 green curve,OSBA41_THTO43_0,OSBA41,THTO43,negative,medium,"Diagram shows Thornton/Osbaldwick region; sign flipped to keep SHARN transfer convention."
SSHARN,SSHARN7,resources/analysis/neso_diagram_sources/image2.jpg,SSHARN7,"Osbaldwick; Thornton",visible SSHARN7 green curve,OSBA42_THTO41_0,OSBA42,THTO41,negative,medium,"Parallel Osbaldwick-Thornton leg."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Norton; Greystones; Lackenby; Keadby; Drax; Eggborough; Kearsley",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,DRAX41_FENW4A_0,DRAX41,FENW4A,positive,medium,"Not a named NESO subconstraint in the image; proxy captures the diagram-visible Drax/Ferrybridge/Yorkshire-Humber export path."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Drax; Eggborough",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,DRAX41_EGGB42_0,DRAX41,EGGB42,positive,medium,"High-flow diagnostic bypass through the diagram-visible Drax/Eggborough corridor."
SSHARN,SSHARN_YORKSHIRE_HUMBER,resources/analysis/neso_diagram_sources/image2.jpg,SHARN Yorkshire-Humber proxy,"Drax; Thornton",visible SHARN/ESTEX-adjacent Yorkshire-Humber corridors,DRAX41_THTO42_0,DRAX41,THTO42,negative,medium,"High-flow diagnostic bypass; sign follows observed north-to-south SSHARN proxy convention."
